GK-2A AMI LRIT DOP(Daily Operation Plan)
BY NATIONAL METEOROLOGICAL SATELLITE CENTER, KOREA METEOROLOGICAL ADMINISTRATION
DISSEMINATION SCHEDULE FROM 2020/08/10
UPDATE 2020/08/10
NOTE: 

＊FOR SEMI REAL-TIME INFORMATION ON GK-2A OPERATION, PLEASE REFER TO FOLLOWING WEBSITE. (http://nmsc.kma.go.kr)
＊A wheel off-loading maneuver is scheduled from [15:28:00.000] on [2019/04/19]. 
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊A wheel off-loading maneuver is scheduled from [06:09:00.000] on [2019/08/21].  
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊A wheel off-loading maneuver is scheduled from [00:47:00.000] on [2019/12/20].  
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊Due to event of sun intrusion into the sensor(from [00:00:00.000] to [00:00:00.000] on [2019/01/01]), some image dissemination will be cancel (See the following schedule for the details).

TIME(UTC)	ABBR_ID	AREA	DISSEMINATION
170300-170340	SUFA03006		O
170940-171000	EGMSG103		O
171006-171236	FD102	FD	O
171300-171405	SSTF24001		O
171500-171605	SSTF48001		O
171700-171805	SSTF72001		O
171940-172000	EGMSG104		O
172006-172236	FD103	FD	O
172940-173000	EGMSG105		O
173006-173236	FD104	FD	O
173300-173340	SICEA001		O
173400-173440	SICEF24001		O
173500-173540	SICEF48001		O
173940-174000	EGMSG106		O
174006-174236	FD105	FD	O
174940-175000	EGMSG107		O
175006-175236	FD106	FD	O
175940-180000	EGMSG108		O
180006-180236	FD107	FD	O
180300-180339	GWW3F090		O
180344-180423	GWW3F091		O
180428-180507	GWW3F092		O
180512-180551	GWW3F093		O
180556-180635	GWW3F094		O
180640-180719	GWW3F095		O
180724-180803	GWW3F096		O
180808-180847	GWW3F097		O
180852-180931	GWW3F098		O
180940-181000	EGMSG109		O
181006-181236	FD108	FD	O
181300-181330	UP50A004		O
181940-182000	EGMSG110		O
182006-182236	FD109	FD	O
182940-183000	EGMSG111		O
183006-183236	FD110	FD	O
183940-184000	EGMSG112		O
184006-184236	FD111	FD	O
184940-185000	EGMSG113		O
185006-185236	FD112	FD	O
185940-190000	EGMSG114		O
190006-190236	FD113	FD	O
190940-191000	EGMSG115		O
191006-191236	FD114	FD	O
191300-191330	TYIA007		O
191940-192000	EGMSG116		O
192006-192236	FD115	FD	O
192940-193000	EGMSG117		O
193006-193236	FD116	FD	O
193940-194000	EGMSG118		O
194006-194236	FD117	FD	O
194300-194330	TYIB007		O
194335-194405	RWW3A007		O
194940-195000	EGMSG119		O
195006-195236	FD118	FD	O
195940-200000	EGMSG120		O
200006-200236	FD119	FD	O
200300-200340	SUFA03007		O
200940-201000	EGMSG121		O
201006-201236	FD120	FD	O
201940-202000	EGMSG122		O
202006-202236	FD121	FD	O
202940-203000	EGMSG123		O
203006-203236	FD122	FD	O
203940-204000	EGMSG124		O
204006-204236	FD123	FD	O
204940-205000	EGMSG125		O
205006-205236	FD124	FD	O
205940-210000	EGMSG126		O
210006-210236	FD125	FD	O
210940-211000	EGMSG127		O
211006-211236	FD126	FD	O
211940-212000	EGMSG128		O
212006-212236	FD127	FD	O
212940-213000	EGMSG129		O
213006-213236	FD128	FD	O
213940-214000	EGMSG130		O
214006-214236	FD129	FD	O
214940-215000	EGMSG131		O
215006-215236	FD130	FD	O
215940-220000	EGMSG132		O
220006-220236	FD131	FD	O
220940-221000	EGMSG133		O
221006-221236	FD132	FD	O
221300-221330	TYIA008		O
221940-222000	EGMSG134		O
222006-222236	FD133	FD	O
222940-223000	EGMSG135		O
223006-223236	FD134	FD	O
223300-223930	COMSIR1004		O
223940-224000	EGMSG136		O
224006-224236	FD135	FD	O
224300-224330	TYIB008		O
224335-224405	RWW3A008		O
224940-225000	EGMSG137		O
225006-225236	FD136	FD	O
225940-230000	EGMSG138		O
230006-230236	FD137	FD	O
230300-230340	SUFA03008		O
230940-231000	EGMSG139		O
231006-231236	FD138	FD	O
231940-232000	EGMSG140		O
232006-232236	FD139	FD	O
232940-233000	EGMSG141		O
233006-233236	FD140	FD	O
233940-234000	EGMSG142		O
234006-234236	FD141	FD	O
234940-235000	EGMSG143		O
235006-235236	FD142	FD	O
235940-000000	EGMSG144		O
000006-000236	FD143	FD	O

ABBREVIATIONS:
IMAGERY IN ALL WAVELENGTH WILL BE DISSEMINATED EACH TIME

FXX : FULL DISK(FD) OBSERVATION (XX DENOTES SEQUENTIAL NUMBER OF DAILY SCHEDULE)
EXX : EXTENDED NORTHERN HEMISPHERE(ENH) OBSERVATION
LXX : LIMITED SOUTHERN HEMISPHERE(LSH) OBSERVATION
AXX : ASIAN-PACIFIC NORTHERN HEMISPHERE(APNH) OBSERVATION
ANTXX: ALPHA NUMERIC TEXT(WEEKLY OPERATION PLAN)
GOCIXX : GEOSTATIONARY OCEAN COLOR IMAGER(L2 IMAGE)
CTXX     : CLOUD TYPE(L2 IMAGE)
CTTXX   : CLOUD TOP TEMPERATURE(L2 IMAGE)
CTHXX   : CLOUD TOP HEIGHT(L2 IMAGE)

O   : OBSERVATION AND DISSEMINATION ARE SCHEDULED
X   : SCHEDULED LRIT WILL BE CANCELED

REMARKS: 
1) IN CASE OF SYSTEM MAINTENANCE, THE SCHEDULE WILL BE CANCELED. 
2) IN CASE OF ECLIPSE OPERATION OR SOLAR-INTERFERENCE OPERATION, THE SCHEDULE WILL BE CHANGED. 
3) THE SCHEDULE IS SUBJECT  TO CHANGE WITHOUT NOTICE. 
4) CONVERSION EQUATION (DIGITAL NUMBER TO RADIANCE)

    RADIANCE = GAIN × DIGITAL NUMBER + OFFSET

		GAIN(SIDE A)          OFFSET(SIDE A)          GAIN(SIDE B)          OFFSET(SIDE B)
VI006	0.154856294393539 *4*4 	-6.194244384765620 	6.457599956890890 	39.999952272034100 	0.0019244840 
SW038	-0.00108296517282724000 *16*4 	17.69998741149900000000 	-923.390728613509000 	16344.004272354000000 	-0.447843939824124 	1.000655680903890 	-6.338240899124480E-08
WV069	-0.00818779878318309000 *8*4 	66.74807739257810000000 	-122.132947631041000 	8152.139440660400000 	-0.334311414359106 	1.000973598744680 	-4.946030702523040E-07
IR105	-0.01981969550251960000 *8*4 	161.58013916015600000000 	-50.454861926252800 	8152.503611350380000 	-0.142866448475177 	1.000640695720490 	-5.504432949604980E-07

GK-2A AMI LRIT DOP END;
